File Path,Hash,Modification Time,File Size
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/ΕΚΤΕΛΕΣΗ_ΚΑΤΑΘΕΣΗ_ΕΡΓΑΣΙΑΣ_20-21_.pdf,267ac5df39c2fb848bbe02b5855747fc,1721396820,81564
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/uniques/exaaadads.txt,98f5610526173d61fd5618280fa72a65,1732475492,31
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/uniques/exaaa.txt,db417db5427b2a2f7a42af6c1c3203b0,1732475484,10
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/uniques/exa.txt,c31ea01ca12b5558b6503a8143cdb98c,1732475476,9
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/MESHLAB_steps_1.pdf,fc34db3bc06380cfe6962315a5221be5,1721396820,199911
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/dups/ΕΚΤΕΛΕΣΗ_ΚΑΤΑΘΕΣΗ_ΕΡΓΑΣΙΑΣ_20-21_.pdf,267ac5df39c2fb848bbe02b5855747fc,1721396820,81564
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/dups/MESHLAB_steps_1.pdf,fc34db3bc06380cfe6962315a5221be5,1721396820,199911
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/dups/scan_21.zip,cec9568a9cff735cd1281bf8eb07da9f,1721396820,643026892
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/dups/scan_21 copy.zip,cec9568a9cff735cd1281bf8eb07da9f,1732476322,643026892
/home/andreas/Code/GoLang/Dude/testfiles/WorkingCopies/Test/scan_21.zip,cec9568a9cff735cd1281bf8eb07da9f,1721396820,643026892
